feature,importance
is_https,0.18248916
path_length,0.11652186
num_subdomains,0.10559524
has_shortener,0.09915073
num_letters,0.0924048
login_keyword_count,0.06836427
num_dots,0.05747301
num_at,0.04692261
query_param_count,0.02617714
tld_length,0.025765965
special_char_count,0.02391357
num_underscore,0.02063777
num_equal,0.017353566
domain_length,0.016456056
num_slash,0.015797354
num_digits,0.014313353
digit_ratio,0.0136065325
url_length,0.011180903
num_hyphens,0.009752547
query_length,0.009498074
special_char_ratio,0.007999161
num_question,0.0077065737
suspicious_keyword_count,0.004615517
url_entropy,0.003069177
letter_ratio,0.0030118995
has_suspicious_keyword,0.00022317668
num_ampersand,0.0
num_percent,0.0
has_punycode,0.0
is_ip,0.0
redirect_keyword_count,0.0
encoded_char_count,0.0
